Trigger,ABORt,,,,,"ABORT resets the trigger system.
Source,[SOURce[n]]:DELay[:ADJust] <NR3>,[SOURce[n]]:DELay[:ADJust]?,"<NR3>
",,"<NR3>
At *RST, this returns 0 s.
","SOURCE1:DELAY:ADJUST 20PS sets the analog output delay for channel 1 to 20
picoseconds.
","This command and query sets or returns the delay (in seconds) of the analog
output.
NOTE. The effect of this command can be seen only in non-sequence mode.
This command does not change the waveform display on the user interface.
"
Source,[SOURce[n]]:DELay:POINts <NR3>,[SOURce[n]]:DELay:POINts?,"<NR3>
",,"<NR3>
At *RST, this returns 0 points.
","SOURCE1:DELAY:POINTS 20 sets the analog output delay for channel 1 to 20
points.
","This command and query sets or returns the delay (in points) of the analog output.
NOTE. The effect of this command can be seen only in non-sequence mode.
This command does not change the waveform display on the user interface.
"
Source,[SOURce[n]]:DIGital:VOLTage[:LEVel][:IMMediate][:AMPLitude] <NR3>,[SOURce[n]]:DIGital:VOLTage[:LEVel][:IMMediate][:AMPLitude]?,"<NR3>
",,"<NR3>
The value of n indicates the channel number.
At *RST, this returns 1 Vpp.
","SOURCE1:DIGITAL:VOLTAGE:LEVEL:IMMEDIATE:AMPLITUDE 1.4 sets the
digital output amplitude level to 1.4 volts.
","only)
This command and query sets or returns the amplitude of digital output. This
command is available only for AWG500B and AWG5000C instruments with
option 03.
"
Source,[SOURce[n]]:DIGital:VOLTage[:LEVel][:IMMediate]:HIGH <NR3>,[SOURce[n]]:DIGital:VOLTage[:LEVel][:IMMediate]:HIGH?,"<NR3>
",,"<NR3>
The value of n indicates the channel number.
At *RST, this returns 1 V.
","SOURCE1:DIGITAL:VOLTAGE:LEVEL:IMMEDIATE:HIGH 1.4 sets the digital
output high level to 1.4 volts.
","This command and query sets or returns the high digital output. This command is
available only for AWG5000B and AWG5000C instruments with option 03.
"
Source,[SOURce[n]]:DIGital:VOLTage[:LEVel][:IMMediate]:LOW <NR3>,[SOURce[n]]:DIGital:VOLTage[:LEVel][:IMMediate]:LOW?,"<NR3>
",,"<NR3>
The value of n indicates the channel number.
At *RST, this returns 0 V.
","SOURCE1:DIGITAL:VOLTAGE:LEVEL:IMMEDIATE:LOW 0.5 sets the digital
output high level to 0.5 volts.
","This command and query sets or returns the low digital output. This command is
available only for AWG5000B and AWG5000C instruments with option 03.
"
Source,[SOURce[n]]:DIGital:VOLTage[:LEVel][:IMMediate]:OFFSet <NR3>,[SOURce[n]]:DIGital:VOLTage[:LEVel][:IMMediate]:OFFSet?,"<NR3>
",,"<NR3>
The value of n indicates the channel number.
At *RST, this returns 0.5 V.
","SOURCE1:DIGITAL:VOLTAGE:LEVEL:IMMEDIATE:OFFSET 1.0 sets the
digital output amplitude level to 1.0 volts.
","This command and query sets or returns the offset of digital output. This command
is available only for AWG5000B and AWG5000C instruments with option 03.
"
Source,"[SOURce[n]]:FUNCtion:USER <Waveform file_name>[,<msus>]",[SOURce[n]]:FUNCtion:USER?,"<file_name>
",,"<Waveform file_name>:: = <string>
Value of n indicates the channel number.
At *RST, this returns ?€? ?€?,?€?C:?€?.
","SOURCE1:FUNCTION:USER ""SAMPLE1.WFM"" loads sample1.wfm into
waveform list and also sets it as the output waveform of channel1.
","This command and query sets or returns the waveform to waveform memory.
Use this command to directly load an AWG400/500/600/700 series waveform
(WFM), pattern file (PAT), or sequence (SEQ) file from mass memory to a
specified channel.
However, when loading a sequence file, the SOURce?€?s suffix is ignored.
The waveform is internally converted to the AWG5000/AWG7000 series
format and inserted into the current waveform list. To successfully load a
waveform, the waveform name should conform to AWG5000/AWG7000
series waveform naming conventions.
If you specify the SEQ file, Run Mode is changed to Sequence.
If you specify a WFM or PAT file while the Run Mode is Sequence, Run
Mode is changed to Continuous.
When you import a sequence file (*.SEQ) for the AWG400/500/600/700
series using this command, all the user-defined waveforms are deleted before
the import operation.
"
Source,[SOURce[n]]:MARKer[1|2]:DELay <NR3>,[SOURce[n]]:MARKer[1|2]:DELay?,"<NR3>
",,"<NR3>
The value of n indicates the channel number.
At *RST, this returns 0.
","SOURCE1:MARKER1:DELAY 20PS sets the marker1 delay of channel1 to 20
picoseconds.
SOURCE1:MARKER1:DELAY? might return 2.00000000E -011 indicating 20 ps.
","This command and query sets or returns the marker delay. Marker delay is
independent for each channel.
In the AWG7000 Series when DAC resolution is changed to 10 bits, marker
output is not available. However, marker related parameters can be modified
using SCPI commands.
"
Source,[SOURce[n]]:MARKer[1|2]:VOLTage[:LEVel][:IMMediate][:AMPLitude] <NR3>,[SOURce[n]]:MARKer[1|2]:VOLTage[:LEVel][:IMMediate][:AMPLitude]?,"<NR3>
",,"<NR3>
The value of n indicates the channel number.
At *RST, this returns 1 Vpp.
","SOURCE1:MARKER1:VOLTAGE:AMPLITUDE 0.5V sets the channel1
marker1amplitude to 0.5 volts.
SOURCE1:MARKER1:VOLTAGE:AMPLITUDE? might return 0.5 volts.
","This command sets the marker amplitude.
In the AWG7000 Series, when the DAC resolution is changed to 10 bits, marker
output is not available. However, marker related parameters can be modified
using SCPI commands.
"
Source,[SOURce[n]]:MARKer[1|2]:VOLTage[:LEVel][:IMMediate]:HIGH <NR3>,[SOURce[n]]:MARKer[1|2]:VOLTage[:LEVel][:IMMediate]:HIGH?,"<NR3>
",,"<NR3>
The value of n indicates the channel number.
At *RST, this returns 1 V.
","SOURCE1:MARKER1:VOLTAGE:HIGH 0.75 sets the marker1 high to 0.75 volts.
","This command sets the marker high level.
In the AWG7000 Series, when DAC resolution is changed to 10 bits, marker
output is not available. However, marker related parameters can be modified
using SCPI commands.
Refer to the User Online Help for the setting range of marker high and marker low.
"
Source,[SOURce[n]]:MARKer[1|2]:VOLTage[:LEVel][:IMMediate]:LOW <NR3>,[SOURce[n]]:MARKer[1|2]:VOLTage[:LEVel][:IMMediate]:LOW?,"<NR3>
",,"<NR3>
The value of n indicates the channel number.
At *RST, this returns 0 V.
","SOURCE1:MARKER1:VOLTAGE:LOW 0.5 sets the marker1 low to 0.5 volts.
","This command sets the marker low level.
In the AWG7000 Series, when the DAC resolution is changed to 10 bits, marker
output is not available. However, marker related parameters can be modified
using SCPI commands.
Refer to the User Online Help for the setting range of marker high and marker low.
"
Source,[SOURce[n]]:MARKer[1|2]:VOLTage[:LEVel][:IMMediate]:OFFSet <NR3>,[SOURce[n]]:MARKer[1|2]:VOLTage[:LEVel][:IMMediate]:OFFSet?,"<NR3>
",,"<NR3>
The value of n indicates the channel number.
At *RST, this returns 0.5 V.
","SOURCE1:MARKER1:VOLTAGE:OFFSET 1.0 sets the offset channel1 marker1 to
1 V.
","This command sets the marker offset.
In the AWG7000 Series, when the DAC resolution is changed to 10 bits, marker
output is not available. However, marker related parameters can be modified
using SCPI commands.
"
Source,[SOURce[n]]:PDELay:HOLD {PHASe|DELay|POINt},[SOURce[n]]:PDELay:HOLD?,"PHAS|DEL|POIN
",,"PHASe|DELay|POINt
At *RST, this returns PHASe.
","SOURCE1:PDELAY:HOLD PHASE will retain the channel 1 phase value when the
instrument sampling rate or waveform length is changed.
","This command and query sets or returns the parameter that is retained when
sampling rate or waveform length is changed.
NOTE. The effect of this command can be seen only in non-sequence mode.
"
Source,[SOURce[n]]:PHASe[:ADJust] <NR3>,[SOURce[n]]:PHASe[:ADJust]?,"<NR3>
",,"<NR3>
At *RST, this returns 0 degree.
","SOURCE1:PHASE:ADJUST 180 sets the analog output phase for channel 1 to
180 degrees.
","This command and query sets or returns the phase of the analog output.
NOTE. The effect of this command can be seen only in non-sequence mode.
This command does not change the waveform display on the user interface.
"
Source,[SOURce[n]]:SKEW <NR3>,[SOURce[n]]:SKEW?,"<NR3>
",,"<NR3>
?€?100 ps to +100 ps. It can be changed by a minimum of 1 ps at a time.
The value of n indicates the channel number.
At *RST, this returns 0 s.
","SOURCE2:SKEW 75PS sets the skew for channel2 to 75 ps.
SOURCE2:SKEW? might return 7.50000000E-011, indicating that the skew is 75 ps.
","This command and query sets or returns the skew for the waveform associated
with a channel.
"
Source,[SOURce[n]]:VOLTage[:LEVel][:IMMediate][:AMPLitude] <NR3>,[SOURce[n]]:VOLTage[:LEVel][:IMMediate][:AMPLitude]?,"<NR3>
",,"<NR3> in the range 50 mV to 2V pk-pk.
The value of n indicates the channel number.
At *RST, this returns 1 Vpp.
","SOURCE1:VOLTAGE:AMPLITUDE 1.5 sets the amplitude of channel1 to 1.5 volts.
SOURCE1:VOLTAGE:AMPLITUDE? might return 1.5.
","This command and query sets or returns the amplitude for the waveform
associated with a channel.
"
Source,[SOURce[n]]:VOLTage[:LEVel][:IMMediate]:HIGH <NR3>,[SOURce[n]]:VOLTage[:LEVel][:IMMediate]:HIGH?,"<NR3>
",,"<NR3>
The value of n indicates the channel number.
At *RST, this returns 0.5 V.
","SOURCE1:VOLTAGE:HIGH 0.75 sets the channel1?€?s high to 0.75 volts.
","This command and query sets or returns the high voltage level for the waveform
associated with a channel. The command is not available on instruments with
the Option 02 or Option 06 installed.
"
Source,[SOURce[n]]:VOLTage[:LEVel][:IMMediate]:LOW <NR3>,[SOURce[n]]:VOLTage[:LEVel][:IMMediate]:LOW?,"<NR3>
",,"<NR3>
The value of n indicates the channel number.
At *RST, this returns ?€?0.5 V.
","SOURCE1:VOLTAGE:LOW 0.25 sets the channel1 low to 0.25 volts.
","This command and query sets or returns the low voltage level for the waveform
associated with a channel. The command is not available on instruments with
Option 02 or Option 06 installed.
"
Source,[SOURce[n]]:VOLTage[:LEVel][:IMMediate]:OFFSet <NR3>,[SOURce[n]]:VOLTage[:LEVel][:IMMediate]:OFFSet?,"<NR3>
",,"<NR3>
The value of n indicates the channel number.
At *RST, this returns ?€?0.5 V.
","SOURCE1:VOLTAGE:LEVEL:IMMEDIATE:OFFSET 0.5 sets the channel 1 offset
to 0.5 V.
","This command and query sets or returns the offset for the waveform associated
with a channel. The command is not available on instruments with Option 02
or Option 06 installed.
"
Source,[SOURce[n]]:WAVeform <wfm_name>,[SOURce[n]]:WAVeform?,"<wfm_name>
",,",.
<wfm_name>::=<string>
The value of n indicates the channel number.
","SOURCE1:WAVEFORM ?€?*SINE100?€? loads a predefined waveform called
?€?*Sine100?€? into channel1 memory.
SOURCE1:WAVEFORM? might return ?€?*Sine100?€?.
","This command and query sets or returns the output waveform from the current
waveform list for each channel when Run Mode is not Sequence. However, this
command cannot be used to load a waveform stored in an AWG400/500/600/700
waveform or pattern file. To load a waveform stored in an AWG400/500/600/700
waveform or pattern file, use the [SOURce[n]]:FUNCtion:USER command.
"
Status,*SRE <NR1>,*SRE?,"<NR1>
",,"<NR1>
","*SRE 48 sets the bits in the SRER to the binary value 00110000.
*SRE? might return a value of 32, showing that the bits in the SRER have the
binary value 00100000.
","This command sets or queries the bits in Service Request Enable register.
"
Status,STATus:OPERation:CONDition?,,"<NR1>
",,,,"This query returns the contents of the Operation Condition Register.
Note that the OCR is not used in the arbitrary waveform generator.
"
Status,STATus:OPERation:ENABle <NR1>,STATus:OPERation:ENABle?,"<NR1>
",,"<NR1>
",,"This command and query sets or returns the mask for the Operation Enable
Register.
Note that the OENR is not used in the arbitrary waveform generator.
"
Status,STATus:OPERation[:EVENt]?,,"<NR1>
",,,,"This query returns the contents of Operation Event Register.
Note that the OEVR is not used in the arbitrary waveform generator.
"
Status,STATus:PRESet,,,,,"STATUS:PRESET resets the SCPI enable registers.
","This command sets the OENR and QENR registers.
"
Status,STATus:QUEStionable:CONDition?,,"<NR1>
",,,,"This query returns the status of the Questionable Condition Register.
Note that the QCR is not used in the arbitrary waveform generator.
"
Status,STATus:QUEStionable:ENABle <NR1>,STATus:QUEStionable:ENABle?,"<NR1>
",,,,"This command and query sets or returns the mask for Questionable Enable
Register.
Note that the QENR is not used in the arbitrary waveform generator.
"
Status,STATus:QUEStionable[:EVENt]?,,"<NR1>
",,,"STATUS:QUESTIONABLE:EVENT? might return 32, which indicates that the
QEVR contains the binary number 00000000 00100000.
","This query returns the status of the QEVR register and clears it.
"
Status,*STB?,,"<NR1>
",,,"*STB? might return 96, which indicates that the SBR contains the binary number
0110 0000.
","This query returns the contents of Status Byte Register.
"
System,"SYSTem:DATE <year>,<month>,<day>",SYSTem:DATE?,"<year>,<month>,<day>
",,"<year>::=<NRf> (Four digit number)
<month>::=<NRf> from 1 to 12
<day>::=<NRf> from 1 to 31
","SYSTEM:DATE 2008,6,20 sets the date to June 20, 2008.
","This command and query sets or returns the system date. When the values are
nonintegers, they are rounded off to nearest integral values.
"
System,SYSTem:ERRor[:NEXT]?,,"<Error / event number>, <error / event description [;device dependant info]>
0 ?€? No Error
Error / event number <NR1>
error / event description <string>
",,,"SYSTEM:ERROR:NEXT? might return the following response:
?€?102,?€?Syntax error;possible invalid suffix - :SOUR:FREQ 2V?€?
This response indicates that the unit is invalid.
","This command retrieves and returns data from the error and event queues.
"
System,SYSTem:KLOCk <state>,SYSTem:KLOCk?,"<NR1>
",,"<state>::=<Boolean>
0 indicates False. The front panel and keyboard are unlocked.
1 indicates True. The front panel and keyboard are locked.
At *RST, this returns 0.
NOTE. When you manually set the Touch Screen button to OFF on the front panel,
the *RST will not reset to 0.
","SYSTEM:KLOCK ON locks the front panel and keyboard.
SYSTEM:KLOCK might return 1, which indicates that the front panel and keyboard
are locked.
","This command locks or unlocks the keyboard and front panel of the arbitrary
waveform generator.
"
System,"SYSTem:TIME <hour>,<minute>,<second>",SYSTem:TIME?,"<hour>,<minute>,<second>
",,"<hour>,<minute>,<second>
<hour>::=<NRf> from 0 to 23
<minute>::=<NRf> from 0 to 59
<second>::=<NRf> from 0 to 59
","SYSTEM:TIME 11,23,58 sets the time.
","This command and query sets or returns the system time. When the values are
nonintegers, they are rounded off to nearest integral values.
"
System,SYSTem:VERSion?,,"<NR2>::=YYYY.V
where YYYY represents the year version and V represents an approved revision
number for that year.
",,,"SYSTEM:VERSION? might return 1999.0.
","This command returns the SCPI version number to which the command conforms.
"
Trigger,*TRG,,,,,"*TRG generates a trigger event.
","This command generates a trigger event. This is equivalent to pressing Trig
button on front panel.
"
Trigger,TRIGger[:SEQuence][:IMMediate],,,,,"TRIGGER:SEQUENCE:IMMEDIATE generates the trigger event.
","This command generates a trigger event. This is equivalent to *TRG.
"
Trigger,TRIGger[:SEQuence]:IMPedance <impedance>,TRIGger[:SEQuence]:IMPedance?,"<NR3>
",,"<impedance>::=<NR3> the value will be 50 and 1000.
At *RST, this returns 1000 ??.
","TRIGGER:SEQUENCE:IMPEDANCE 50 selects 50 ?? impedance for the external
trigger input.
","This command and query sets or returns the trigger impedance. It applies only
to the external trigger.
"
Trigger,TRIGger[:SEQuence]:LEVel <NR3>,TRIGger[:SEQuence]:LEVel?,"<NR3>
",,"<NR3>
At *RST, this returns 1.4 V.
","TRIGGER:SEQUENCE:LEVEL 200MV sets the trigger level to 200 mV.
","This command and query sets or returns the trigger input level (threshold).
"
Trigger,TRIGger[:SEQuence]:MODE <trigger_type>,TRIGger[:SEQuence]:MODE?,"SYNC|ASYN
",,"<trigger_type>::={SYNChronous|ASYNchronous}
SYNChronous does not lower trigger jitter.
ASYNchronous lowers trigger jitter.
At *RST, this returns ASYNchronous.
","TRIGGER:SEQUENCE:MODE ASYNCHRONOUS sets the trigger timing to
asynchronous type.
","This command and query sets or returns the trigger timing. It is used in the
Triggered or Sequence mode. Trigger timing can be set when the external trigger
source is selected.
"
Trigger,TRIGger[:SEQuence]:POLarity {POSitive|NEGative},TRIGger[:SEQuence]:POLarity?,"POS|NEG
",,"POSitive means the gate signal is activated when the external trigger signal is
greater (more Positive) than the trigger level.
NEGative means the gate signal is activated when the external trigger signal is
less (more Negative) than the trigger level.
At *RST, this returns POSitive.
","TRIGGER:SEQUENCE:POLARITY NEGATIVE selects the Negative polarity.
","This command and query sets or returns the trigger input polarity. It is used to set
polarity in gated mode.
"
Trigger,TRIGger[:SEQuence]:SLOPe {POSitive|NEGative},TRIGger[:SEQuence]:SLOPe?,"POS|NEG
",,"POSitive means that the event occurs on the rising edge of the external trigger
signal.
NEGative means that the event occurs on the falling edge of the external trigger
signal.
At *RST, this returns POSitive.
","TRIGGER:SEQUENCE:SLOPE NEGATIVE selects the Negative slope.
","This command and query sets or returns the trigger slope. It is used to set polarity
in modes other than gated mode.
"
Trigger,TRIGger[:SEQuence]:SOURce {INTernal|EXTernal},TRIGger[:SEQuence]:SOURce?,"INT|EXT
",,"INTernal selects internal clock as the trigger source.
EXTernal selects external clock as the trigger source.
At *RST, this returns EXTernal.
","TRIGGER:SEQUENCE:SOURCE INTERNAL selects the internal clock as the trigger
source.
","This command and query sets or returns the trigger source.
"
Trigger,TRIGger[:SEQuence]:TIMer <NR3>,TRIGger[:SEQuence]:TIMer?,"<NR3>
",,"<NR3>
At *RST, this returns 100 ms.
","TRIGGER:SEQUENCE:TIMER 5MS sets the internal trigger rate to 5 ms.
","This command and query sets or returns the internal trigger rate (trigger interval).
"
Trigger,TRIGger[:SEQuence]:WVALue {FIRSt|LAST},TRIGger[:SEQuence]:WVALue?,"FIRS|LAST
",,"FIRSt specifies the first value of the waveform as the output level.
LAST specifies the last value of the waveform as the output level.
At *RST, this returns FIRSt.
","TRIGGER:SEQUENCE:WVALUE LAST selects the last value as the output level.
","This command and query sets or returns the output data position of a waveform
while the instrument is in the waiting-for-trigger state. This is valid only when
Run Mode is Triggered or Gated.
"
Diagnostic,*TST?,,"<NR1>
0 indicates no error.
",,,"*TST? might return ?€?330 indicating that the self test failed.
","This query executes a self test and returns the results.
"
Synchronization,*WAI,,,,,"*WAI prevents the execution of any commands or queries until all pending
operations complete.
","This command prevents the arbitrary waveform generator from executing further
commands until all pending commands are executed.
"
Waveform,WLISt:NAME? <Index>,,"<string>::=<wfm_name> is the waveform name specified by <index>.
",,"<Index>::=<NR1>
","WLIST:NAME? 21 might return ?€?untitled21?€?.
","This query returns the waveform name of an element in the waveform list. This
query can be used to query the waveform name in the waveform list.
"
Waveform,WLISt:SIZE?,,"<NR1>
At *RST, this returns the number of predefined waveforms.
",,,"WLIST:SIZE? might return 25 when user-defined waveform list is empty.
","This query returns the size (number of waveforms) of the waveform list. Names
of both predefined and user-created waveforms are stored in a single list. The
maximum size depends on the length of each waveform.
"
Waveform,"WLISt:WAVeform:DATA <wfm_name>[,<StartIndex>[,<Size>]],<block_data>","WLISt:WAVeform:DATA? <wfm_name>[,<StartIndex>[,<Size>]]","<block_data>
",,"StartIndex, Size,<block_data>
<wfm_name>::=<string>
<StartIndex>::=<NR1>
<Size>::=<NR1>
<block_data>::=<IEEE 488.2 block>
","WLIST:WAVEFORM:DATA ?€?TestWfm?€?,0,1024,#42048xxxx?€? this transfers
waveform data to a waveform called ?€?TestWfm?€? created earlier using the
WLISt:WAVeform:NEW command. The data size is 1024 points (2048 bytes) and
the start index is 1 (the first data point). Note that the IEEE 488.2 block header
depends on the type of the data being transferred. If it is integer type, the total
bytes will be twice the size of the waveform and if it is a real waveform, the total
bytes will be five times the size of the waveform.
","This command transfers waveform data from the external controller into the
waveform list or from the waveform list to the external control program.
NOTE. Before transferring data to the instrument, a waveform must be created
using the WLISt:WAVeform:NEW command.
Use this command to set both analog and marker data. To set only the marker
data, use the WLISt:WAVeform:MARKer:DATA command.
Using StartIndex and Size, part of a waveform can be transferred at a time. Very
large waveforms can be transferred in chunks.
Waveform data is always transferred in the LSB first format.
The format of the transferred data depends on the waveform type.
If Size is omitted, the length of waveform is assumed to be the value of the Size
parameter.
Transferring large waveforms in chunks allows external programs to cancel the
operation before it is completed.
The instrument supports two types of waveform data: integer format and floating
point format. The integer format occupies two bytes per waveform data point.
Floating point waveform data points occupy five bytes. So the total bytes will be
five times the size of the waveform. The first four bytes of each data point represent
the floating point representation of the sample value and the fifth byte stores the
marker data. The marker data occupy the two most significant bits of the fifth byte.
The minimum size of the waveform must be 1 and the maximum size depends on
the instrument model and configuration.
This command has a limit of 650,000,000 bytes of data. If this limit is insufficient,
consider the following alternatives:
Use a more efficient file encoding (WFM or PAT) when sending data.
Use instrument commands for direct control (WLISt:WAVeform:DATA,
FREQ, VOLT, and so on).
Use Ethernet (ftp, http, or file sharing) to transfer the file.
Refer to the User Online Help, AWG Reference > Waveform General
Information section for the detailed format specification.
"
Waveform,WLISt:WAVeform:DELete {<wfm_name>|ALL},,,,"<wfm_name>::=<string>
","WLIST:WAVEFORM:DELETE ALL deletes all user-defined waveforms from the
currently loaded setup. The ALL parameter does not delete predefined waveforms.
WLIST:WAVEFORM:DELETE ?€?Test1?€? deletes a waveform called ?€?Test1?€?.
","This command deletes the waveform from the currently loaded setup.
NOTE. The waveform will be deleted even if it is a part of the sequence
The sequence element corresponding to the deleted waveform will have
WFMID_EMPTY
When ALL is specified, all user-defined waveforms in the list are deleted in a
single action. Note that there is no ?€?UNDO?€? action once the waveforms are
deleted. Use caution before issuing this command.
If the deleted waveform is currently loaded into waveform memory, it is unloaded.
If the RUN state of the instrument is ON, the state is turned OFF. If the channel
is on, it will be switched off.
"
Waveform,WLISt:WAVeform:LENGth? <wfm_name>,,"<NR1>
",,"<wfm_name>::=<string>
","WLIST:WAVEFORM:LENGTH? ?€?*Sine 360?€? might return 360.
","This query returns the size of the waveform. The returned value represents data
points (not bytes).
"
Waveform,"WLISt:WAVeform:MARKer:DATA <wfm_name>[,<StartIndex>[,<Size>]],<block_data>","WLISt:WAVeform:MARKer:DATA? <wfm_name>[,<StartIndex>[,<Size>]]","<block_data>
",,"<wfm_name>::=<string>
<StartIndex>::=<NR1>
<Size>::=<NR1>
<block_data>::=<IEEE 488.2 block>
","WLIST:WAVEFORM:MARKER:DATA ?€?myWaveform?€?,0,1000,#41000?€?.
WLIST:WAVEFORM:MARKER:DATA? ?€?myWaveform?€?,0,1000
","This command sets or queries the waveform marker data.
NOTE. This command returns or sends only marker data for the waveform.
Each marker data occupies one bit. Two most significant bits of each byte are
used for marker1 and marker2 (bit 6 for marker1 and bit 7 for marker2). For
more information about the waveform data format, refer to the AWG Reference >
Waveform General Information section of the User Online Help.
You will have to use bit masks to obtain the actual value.
When used on a waveform with n data points, you get only n bytes, each byte
having values for both markers.
Block data can be sent in batches using ""Size"" and ""StartIndex"" parameters.
This command has a limit of 650,000,000 bytes of data. If this limit is insufficient,
consider the following alternatives:
Use a more efficient file encoding (WFM or PAT) when sending data.
Use instrument commands for direct control (WLISt:WAVeform:DATA,
FREQ, VOLT, and so on).
Use Ethernet (ftp, http, or file sharing) to transfer the file.
"
Waveform,"WLISt:WAVeform:NEW <wfm_name>,<Size>,<Type>",,,,"<wfm_name>::=<string>
<Size>::=<NR1>
<Type>::={REAL|INTeger}
","WLIST:WAVEFORM:NEW ?€?Test1?€?, 1024, INTEGER creates a new integer
waveform called Test1 with 1024 points.
","This command creates a new empty waveform in the waveform list of current
setup.
"
Waveform,WLISt:WAVeform:PREDefined? <wfm_name>,,"<state>::=<Boolean>
",,"<wfm_name>::=<string>
","WLIST:WAVEFORM:PREDEFINED? ?€?*Sine3600?€? might return 1 indicating that
it is a predefined waveform.
","This query returns true or false based on whether the waveform is predefined.
NOTE. Predefined waveforms have fixed length and name. Therefore, renaming
or deleting them is not possible.
Creating a new waveform with the same name as the predefined waveform is
not possible.
Data of a predefined waveform can be transferred to an external controller using
WLISt:WAVeform:DATA command.
"
Waveform,WLISt:WAVeform:TSTamp? <wfm_name>,,"?€?yyyy/mm/dd hh:mm:ss?€? is the waveform time stamp.
Where
yyyy refers to a four-digit year number mm refers to two-digit month number
from 01 to 12
dd refers to two-digit day number in the month
hh refers to two-digit hour number mm refers to two-digit minute number
ss refers to two-digit second number
",,"<wfm_name>::=<string>
","WLIST:WAVEFORM:TSTAMP? ?€?Sine?€? might return the date and time the ?€?Sine?€?
waveform was created or last modified.
WLIST:WAVEFORM:TSTAMP? ?€?*DC?€? might return ?€??€? because ?€?*DC?€? is a
predefined waveform.
","This query returns the time stamp of the waveform.
NOTE. Time stamp is updated whenever the waveform is created or changed.
It is not updated when it is renamed.
The command returns date as a string in the form yyyy/mm/dd hh:mm:ss (a white
space between date and time).
Time stamp for predefined waveforms is null string ("""").
"
Waveform,WLISt:WAVeform:TYPE? <wfm_name>,,"INT|REAL
",,"<wfm_name>::=<string>
",WLIST:WAVEFORM:TYPE? ?€?*Ramp1000?€? might return REAL.,"This query returns the type of the waveform.
"
